"","X","ST_CASE","VEH_NO","PER_NO","DRUGSPECNAME","DRUGRESNAME","RACENAME","MAKENAME","SEAT_POSNAME","BODY_TYPNAME","MOD_YEARNAME","AIR_BAGNAME","VIOLATIONNAME","DRIMPAIRNAME","DRDISTRACTNAME","STATENAME","COUNTYNAME","CITYNAME","MONTHNAME","YEAR","DAY_WEEKNAME","HOURNAME","ROUTENAME","RUR_URBNAME","RD_OWNERNAME","LATITUDE","LONGITUDE","TYP_INTNAME","WEATHERNAME","FATALS","DRUNK_DR"
"64079",64079,370138,1,2,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Other Race","Nissan/Datsun","Front Seat, Right Side","4-door sedan, hardtop","2017","Deployed- Combination","Speeding (above the speed limit)","None/Apparently Normal","Not Reported","North Carolina","FORSYTH (67)","NOT APPLICABLE","February",2020,"Wednesday","4:00am-4:59am","State Highway","Rural","State Highway Agency",36.02393,-80.05909,"Not an Intersection","Cloudy",1,1
"64080",64080,370138,1,2,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Other Race","Nissan/Datsun","Front Seat, Right Side","4-door sedan, hardtop","2017","Deployed- Combination","Unsafe reckless (not willful, wanton reckless) driving","None/Apparently Normal","Not Reported","North Carolina","FORSYTH (67)","NOT APPLICABLE","February",2020,"Wednesday","4:00am-4:59am","State Highway","Rural","State Highway Agency",36.02393,-80.05909,"Not an Intersection","Cloudy",1,1
"64081",64081,370138,1,2,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Other Race","Nissan/Datsun","Front Seat, Right Side","4-door sedan, hardtop","2017","Deployed- Combination","Serious violation resulting in death","None/Apparently Normal","Not Reported","North Carolina","FORSYTH (67)","NOT APPLICABLE","February",2020,"Wednesday","4:00am-4:59am","State Highway","Rural","State Highway Agency",36.02393,-80.05909,"Not an Intersection","Cloudy",1,1
"64082",64082,370139,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Honda","Front Seat, Left Side","4-door sedan, hardtop","2014","Not Deployed","Serious violation resulting in death","Under the Influence of Alcohol, Drugs or Medication","Inattention (Inattentive), Details Unknown","North Carolina","GASTON (71)","GASTONIA","February",2020,"Sunday","2:00am-2:59am","State Highway","Urban","State Highway Agency",NA,NA,"Not an Intersection","Clear",2,1
"64083",64083,370139,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Honda","Front Seat, Left Side","4-door sedan, hardtop","2014","Not Deployed","Driving while impaired","Under the Influence of Alcohol, Drugs or Medication","Inattention (Inattentive), Details Unknown","North Carolina","GASTON (71)","GASTONIA","February",2020,"Sunday","2:00am-2:59am","State Highway","Urban","State Highway Agency",NA,NA,"Not an Intersection","Clear",2,1
"64084",64084,370140,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Unknown","Ford","Front Seat, Left Side","Light Pickup","2000","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","GASTON (71)","NOT APPLICABLE","February",2020,"Thursday","10:00am-10:59am","State Highway","Rural","State Highway Agency",35.37315,-81.40474,"Not an Intersection","Rain",1,0
"64085",64085,370141,1,3,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Nissan/Datsun","Second Seat, Right Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2007","Not Deployed","None","Under the Influence of Alcohol, Drugs or Medication","Not Reported","North Carolina","GRANVILLE (77)","NOT APPLICABLE","February",2020,"Sunday","8:00pm-8:59pm","U.S. Highway","Rural","State Highway Agency",36.31389,-78.53575,"Not an Intersection","Clear",2,1
"64086",64086,370141,1,2,"Test Not Given","Test Not Given","White","Nissan/Datsun","Front Seat, Right Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2007","Deployment- Unknown Location","None","Under the Influence of Alcohol, Drugs or Medication","Not Reported","North Carolina","GRANVILLE (77)","NOT APPLICABLE","February",2020,"Sunday","8:00pm-8:59pm","U.S. Highway","Rural","State Highway Agency",36.31389,-78.53575,"Not an Intersection","Clear",2,1
"64087",64087,370141,1,1,"Test Not Given","Test Not Given","White","Nissan/Datsun","Front Seat, Left Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2007","Deployment- Unknown Location","None","Under the Influence of Alcohol, Drugs or Medication","Not Reported","North Carolina","GRANVILLE (77)","NOT APPLICABLE","February",2020,"Sunday","8:00pm-8:59pm","U.S. Highway","Rural","State Highway Agency",36.31389,-78.53575,"Not an Intersection","Clear",2,1
"64088",64088,370141,2,1,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Toyota","Front Seat, Left Side","5-door/4-door hatchback","2011","Deployment- Unknown Location","None","None/Apparently Normal","Not Reported","North Carolina","GRANVILLE (77)","NOT APPLICABLE","February",2020,"Sunday","8:00pm-8:59pm","U.S. Highway","Rural","State Highway Agency",36.31389,-78.53575,"Not an Intersection","Clear",2,1
"64089",64089,370142,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Black or African American","Ford","Front Seat, Left Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2000","Not Deployed","None","Reported as Unknown if Impaired","Not Reported","North Carolina","GRANVILLE (77)","NOT APPLICABLE","February",2020,"Sunday","2:00pm-2:59pm","State Highway","Rural","State Highway Agency",36.50201,-78.74828,"Not an Intersection","Clear",1,0
"64090",64090,370143,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Black or African American","Dodge","Front Seat, Left Side","4-door sedan, hardtop","2013","Deployed- Combination","None","None/Apparently Normal","Inattention (Inattentive), Details Unknown","North Carolina","GUILFORD (81)","GREENSBORO","February",2020,"Saturday","4:00am-4:59am","U.S. Highway","Urban","State Highway Agency",36.09184,-79.76544,"Not an Intersection","Cloudy",1,0
"64091",64091,370144,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","White","Mercedes-Benz","Front Seat, Left Side","2-door sedan,hardtop,coupe","1999","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","GUILFORD (81)","GREENSBORO","February",2020,"Thursday","9:00am-9:59am","Interstate","Urban","State Highway Agency",36.00043,-79.79754,"Not an Intersection","Rain",1,0
"64092",64092,370144,2,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Freightliner","Front Seat, Left Side","Truck-tractor (Cab only, or with any number of trailing unit; any weight)","2005","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","GUILFORD (81)","GREENSBORO","February",2020,"Thursday","9:00am-9:59am","Interstate","Urban","State Highway Agency",36.00043,-79.79754,"Not an Intersection","Rain",1,0
"64093",64093,370145,1,2,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Dodge","Front Seat, Right Side","4-door sedan, hardtop","2015","Deployment- Unknown Location","None","None/Apparently Normal","Not Reported","North Carolina","GUILFORD (81)","NOT APPLICABLE","February",2020,"Thursday","9:00pm-9:59pm","U.S. Highway","Rural","State Highway Agency",35.91846,-79.6771,"Not an Intersection","Rain",1,0
"64094",64094,370145,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Black or African American","Dodge","Front Seat, Left Side","4-door sedan, hardtop","2015","Deployment- Unknown Location","None","None/Apparently Normal","Not Reported","North Carolina","GUILFORD (81)","NOT APPLICABLE","February",2020,"Thursday","9:00pm-9:59pm","U.S. Highway","Rural","State Highway Agency",35.91846,-79.6771,"Not an Intersection","Rain",1,0
"64095",64095,370146,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Volvo","Front Seat, Left Side","Truck-tractor (Cab only, or with any number of trailing unit; any weight)","2017","Not Deployed","Serious violation resulting in death","Reported as Unknown if Impaired","Not Reported","North Carolina","GUILFORD (81)","NOT APPLICABLE","February",2020,"Thursday","9:00am-9:59am","Other","Rural","State Highway Agency",36.06516,-80.00758,"Not an Intersection","Clear",1,0
"64096",64096,370146,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Volvo","Front Seat, Left Side","Truck-tractor (Cab only, or with any number of trailing unit; any weight)","2017","Not Deployed","Lane violations, generally","Reported as Unknown if Impaired","Not Reported","North Carolina","GUILFORD (81)","NOT APPLICABLE","February",2020,"Thursday","9:00am-9:59am","Other","Rural","State Highway Agency",36.06516,-80.00758,"Not an Intersection","Clear",1,0
"64097",64097,370146,2,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Chevrolet","Front Seat, Left Side","Medium/heavy Pickup (GVWR greater than 10,000 lbs.)","2002","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","GUILFORD (81)","NOT APPLICABLE","February",2020,"Thursday","9:00am-9:59am","Other","Rural","State Highway Agency",36.06516,-80.00758,"Not an Intersection","Clear",1,0
"64098",64098,370146,3,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","White","Honda","Front Seat, Left Side","Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")","2006","Deployed- Combination","None","Reported as Unknown if Impaired","Not Reported","North Carolina","GUILFORD (81)","NOT APPLICABLE","February",2020,"Thursday","9:00am-9:59am","Other","Rural","State Highway Agency",36.06516,-80.00758,"Not an Intersection","Clear",1,0
"64099",64099,370146,4,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Ford","Front Seat, Left Side","Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)","2012","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","GUILFORD (81)","NOT APPLICABLE","February",2020,"Thursday","9:00am-9:59am","Other","Rural","State Highway Agency",36.06516,-80.00758,"Not an Intersection","Clear",1,0
"64100",64100,370147,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","White","Toyota","Front Seat, Left Side","Light Pickup","2001","Deployment- Unknown Location","None","Under the Influence of Alcohol, Drugs or Medication","Not Reported","North Carolina","GUILFORD (81)","SUMMERFIELD","February",2020,"Thursday","11:00am-11:59am","Other","Urban","State Highway Agency",36.18882,-79.83265,"Not an Intersection","Clear",1,1
"64101",64101,370148,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Unknown","Volvo","Front Seat, Left Side","Truck-tractor (Cab only, or with any number of trailing unit; any weight)","2013","Deployment- Unknown Location","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","NOT APPLICABLE","February",2020,"Friday","3:00am-3:59am","Interstate","Rural","State Highway Agency",36.33297,-77.69813,"Not an Intersection","Rain",1,0
"64102",64102,370149,1,2,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64103",64103,370149,1,22,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64104",64104,370149,1,13,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64105",64105,370149,1,26,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64106",64106,370149,1,20,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64107",64107,370149,1,24,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64108",64108,370149,1,10,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64109",64109,370149,1,11,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64110",64110,370149,1,21,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64111",64111,370149,1,15,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64112",64112,370149,1,27,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64113",64113,370149,1,3,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64114",64114,370149,1,5,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64115",64115,370149,1,4,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64116",64116,370149,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Freightliner","Front Seat, Left Side","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64117",64117,370149,1,8,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64118",64118,370149,1,9,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64119",64119,370149,1,23,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64120",64120,370149,1,25,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64121",64121,370149,1,16,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64122",64122,370149,1,19,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64123",64123,370149,1,17,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64124",64124,370149,1,12,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64125",64125,370149,1,14,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64126",64126,370149,1,18,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64127",64127,370149,1,7,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64128",64128,370149,1,6,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Freightliner","Other Passenger in enclosed passenger or cargo area","School Bus","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64129",64129,370149,2,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Unknown","Honda","Front Seat, Left Side","4-door sedan, hardtop","2020","Deployed- Combination","None","Reported as Unknown if Impaired","Not Reported","North Carolina","HALIFAX (83)","WELDON","February",2020,"Friday","3:00pm-3:59pm","Other","Urban","State Highway Agency",36.41606,-77.61137,"Not an Intersection","Clear",1,0
"64130",64130,370150,1,2,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Honda","Front Seat, Right Side","5-door/4-door hatchback","2012","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HARNETT (85)","NOT APPLICABLE","February",2020,"Saturday","7:00pm-7:59pm","U.S. Highway","Rural","State Highway Agency",35.38742,-78.72515,"Not an Intersection","Clear",1,0
"64131",64131,370150,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Honda","Front Seat, Left Side","5-door/4-door hatchback","2012","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HARNETT (85)","NOT APPLICABLE","February",2020,"Saturday","7:00pm-7:59pm","U.S. Highway","Rural","State Highway Agency",35.38742,-78.72515,"Not an Intersection","Clear",1,0
"64132",64132,370151,1,1,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Unknown Make","Front Seat, Left Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Unknown","Not Reported","None","Not Reported","Not Reported","North Carolina","HARNETT (85)","ANGIER","February",2020,"Thursday","6:00pm-6:59pm","State Highway","Urban","State Highway Agency",35.50627,-78.74771,"Not an Intersection","Rain",1,0
"64133",64133,370152,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Unknown","Toyota","Front Seat, Left Side","Light Pickup","2005","Not Deployed","None","Reported as Unknown if Impaired","Not Reported","North Carolina","HAYWOOD (87)","WAYNESVILLE","February",2020,"Tuesday","2:00pm-2:59pm","U.S. Highway","Rural","State Highway Agency",35.49892,-82.99957,"Not an Intersection","Rain",1,0
"64134",64134,370153,1,2,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Mitsubishi","Front Seat, Right Side","3-door/2-door hatchback","2006","Deployment- Unknown Location","None","Under the Influence of Alcohol, Drugs or Medication","Not Reported","North Carolina","HAYWOOD (87)","NOT APPLICABLE","February",2020,"Sunday","4:00am-4:59am","Interstate","Rural","State Highway Agency",35.5853,-82.99384,"Not an Intersection","Cloudy",1,1
"64135",64135,370153,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","White","Mitsubishi","Front Seat, Left Side","3-door/2-door hatchback","2006","Deployment- Unknown Location","None","Under the Influence of Alcohol, Drugs or Medication","Not Reported","North Carolina","HAYWOOD (87)","NOT APPLICABLE","February",2020,"Sunday","4:00am-4:59am","Interstate","Rural","State Highway Agency",35.5853,-82.99384,"Not an Intersection","Cloudy",1,1
"64136",64136,370154,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Other Make","Front Seat, Left Side","Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)","2016","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HENDERSON (89)","HENDERSONVILLE","February",2020,"Friday","8:00am-8:59am","Local Street - Municipality","Urban","Not Reported",35.29983,-82.44666,"T-Intersection","Clear",1,0
"64137",64137,370154,1,3,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","White","Other Make","Riding on Exterior of Vehicle","Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)","2016","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HENDERSON (89)","HENDERSONVILLE","February",2020,"Friday","8:00am-8:59am","Local Street - Municipality","Urban","Not Reported",35.29983,-82.44666,"T-Intersection","Clear",1,0
"64138",64138,370154,1,2,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Other Make","Riding on Exterior of Vehicle","Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)","2016","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","HENDERSON (89)","HENDERSONVILLE","February",2020,"Friday","8:00am-8:59am","Local Street - Municipality","Urban","Not Reported",35.29983,-82.44666,"T-Intersection","Clear",1,0
"64139",64139,370155,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Freightliner","Front Seat, Left Side","Single-unit straight truck or Cab-Chassis (GVWR range 19,501 to 26,000 lbs.)","2019","Not Deployed","Serious violation resulting in death","None/Apparently Normal","Not Reported","North Carolina","IREDELL (97)","NOT APPLICABLE","February",2020,"Thursday","3:00am-3:59am","Interstate","Rural","State Highway Agency",35.83331,-80.78539,"Not an Intersection","Clear",3,0
"64140",64140,370155,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Freightliner","Front Seat, Left Side","Single-unit straight truck or Cab-Chassis (GVWR range 19,501 to 26,000 lbs.)","2019","Not Deployed","Unsafe reckless (not willful, wanton reckless) driving","None/Apparently Normal","Not Reported","North Carolina","IREDELL (97)","NOT APPLICABLE","February",2020,"Thursday","3:00am-3:59am","Interstate","Rural","State Highway Agency",35.83331,-80.78539,"Not an Intersection","Clear",3,0
"64141",64141,370156,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Ford","Front Seat, Left Side","4-door sedan, hardtop","2019","Deployed- Combination","Serious violation resulting in death","Reported as Unknown if Impaired","Not Reported","North Carolina","JOHNSTON (101)","NOT APPLICABLE","February",2020,"Tuesday","6:00pm-6:59pm","State Highway","Rural","State Highway Agency",35.65882,-78.30566,"Not an Intersection","Clear",1,1
"64142",64142,370156,2,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Unknown","Hyundai","Front Seat, Left Side","4-door sedan, hardtop","2017","Deployed- Combination","None","Under the Influence of Alcohol, Drugs or Medication","Not Reported","North Carolina","JOHNSTON (101)","NOT APPLICABLE","February",2020,"Tuesday","6:00pm-6:59pm","State Highway","Rural","State Highway Agency",35.65882,-78.30566,"Not an Intersection","Clear",1,1
"64143",64143,370157,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","White","Chevrolet","Front Seat, Left Side","4-door sedan, hardtop","2010","Not Deployed","None","Under the Influence of Alcohol, Drugs or Medication","Not Reported","North Carolina","LEE (105)","NOT APPLICABLE","February",2020,"Sunday","10:00pm-10:59pm","Other","Rural","State Highway Agency",35.41218,-79.24407,"Not an Intersection","Cloudy",1,1
